vizsgazoaz	vizsgatargyaz	szobeli	irasbeli
1	10	26	87
2	6	20	23
3	2	27	29
4	3	4	15
5	2	8	78
6	1	18	8
7	2	53	49
8	5	24	57
9	9	5	51
10	8	14	21
11	5	6	32
12	6	16	70
13	4	4	55
14	1	7	62
15	8	17	56
16	9	5	79
17	6	18	32
18	2	28	39
19	5	39	56
20	7	25	12
21	3	22	35
22	2	27	82
23	6	41	60
24	6	18	34
25	1	19	70
25	7	12	92
26	4	17	92
26	8	5	8
27	7	25	28
27	10	41	93
28	9	33	6
28	3	17	54
29	7	16	99
29	6	14	13
30	10	34	42
30	9	20	7
31	1	49	23
31	9	47	84
32	7	6	33
32	2	5	58
33	9	23	5
33	3	19	67
34	2	53	56
34	3	27	59
35	7	4	27
35	4	3	104
36	2	33	36
36	8	12	32
37	1	44	65
37	10	22	70
38	4	21	6
39	6	38	64
40	1	6	25
41	3	25	95
42	8	28	85
43	8	4	67
44	10	34	17
45	3	23	81
46	2	26	81
47	10	31	90
48	4	20	59
49	8	21	98
50	8	3	16
51	8	4	43
52	8	28	95
53	6	39	6
54	10	44	80
55	8	20	69
56	9	15	21
57	8	19	76
58	6	46	55
59	2	33	31
60	4	25	23
61	3	32	97
62	9	18	63
63	2	19	85
64	9	15	57
65	5	43	91
66	1	40	55
67	2	51	96
68	6	7	13
69	4	28	42
70	1	47	8
71	1	33	30
72	10	9	54
73	4	28	54
74	10	18	32
75	2	34	54
76	7	17	23
77	6	34	94
77	6	18	72
78	4	9	76
78	1	4	24
79	1	17	82
79	4	27	8
80	8	29	62
80	2	9	10
81	10	43	33
81	5	5	49
82	2	44	60
82	1	31	81
83	3	10	59
83	3	33	79
84	8	20	34
84	6	20	12
85	7	19	24
85	6	36	93
86	7	12	27
86	5	11	36
87	4	23	72
87	7	16	25
88	1	8	39
88	2	18	95
89	7	17	88
90	10	38	57
91	5	32	6
92	9	11	92
93	5	34	39
94	2	36	79
95	7	7	60
96	6	22	16
97	8	3	20
98	8	16	88
99	9	31	41
100	5	26	18
101	2	20	93
102	10	31	65
103	2	52	23
104	7	8	59
105	9	36	24
106	1	29	21
107	9	46	23
108	2	59	99
109	2	48	74
110	10	44	39
111	4	6	5
112	2	41	32
113	7	7	46
114	6	19	61
115	9	8	88
116	8	19	98
117	3	10	42
118	5	12	70
119	2	10	30
120	1	24	73
121	7	4	32
122	10	35	64
122	4	22	36
123	9	42	31
123	10	16	33
124	10	5	72
124	10	49	96
125	6	13	75
125	1	15	72
126	1	23	21
126	4	11	93
127	1	31	78
127	7	27	29
128	3	4	62
128	9	33	96
129	3	24	15
129	10	35	63
130	1	26	86
130	7	15	79
131	5	23	11
131	7	5	85
132	10	23	69
133	5	28	27
134	1	8	97
135	4	29	45
136	8	14	59
137	1	29	32
138	2	46	24
139	4	24	60
140	7	14	11
141	6	47	70
142	1	7	7
143	6	9	24
144	8	26	45
145	9	43	78
146	7	23	91
147	3	18	46
148	6	46	15
149	5	12	53
150	8	26	7
151	4	8	60
152	1	49	69
153	6	37	75
154	2	21	18
155	4	6	13
156	3	19	55
157	7	7	34
158	3	29	74
159	1	13	96
160	5	6	71
161	10	20	62
162	6	20	9
163	10	14	91
164	8	10	56
165	7	5	6
166	9	49	67
167	5	9	15
168	3	31	77
169	8	17	19
170	6	35	40
171	7	27	98
172	4	12	20
172	10	17	14
172	8	6	90
173	2	16	27
174	10	8	105
175	10	36	12
176	10	49	99
177	6	12	66
178	7	24	74
179	9	16	23
180	9	22	59
181	9	27	85
182	8	11	29
183	10	10	93
184	3	22	27
185	5	12	50
186	5	45	36
187	7	5	86
187	3	3	97
188	6	45	24
188	10	22	80
189	4	11	47
189	3	31	64
190	2	13	69
190	4	5	69
191	9	42	74
191	5	27	39
192	4	7	76
192	8	16	33
193	8	6	32
193	4	14	90
194	2	42	92
194	1	13	87
195	7	13	72
195	4	27	51
196	5	45	41
196	1	41	64
197	9	39	71
197	2	50	29
198	9	26	44
198	5	37	84
199	9	34	33
200	4	25	68
201	10	16	91
202	2	23	17
203	8	14	44
204	6	21	17
205	4	5	44
206	6	8	56
207	4	22	46
208	7	24	46
209	3	17	38
210	6	45	14
211	9	13	76
212	6	12	35
213	6	11	92
214	6	31	21
215	7	27	48
216	3	26	91
217	10	31	48
218	7	4	37
219	6	38	35
220	6	24	93
221	4	4	11
222	2	53	70
223	9	5	17
224	7	11	60
225	9	47	56
226	9	20	37
227	6	35	56
228	10	19	92
229	3	5	84
230	4	4	25
231	2	9	27
232	2	35	12
233	9	42	11
234	8	18	70
235	6	31	73
236	5	39	93
237	4	2	46
238	9	11	77
239	10	10	15
240	5	10	26
241	6	13	10
242	1	46	80
243	5	40	11
244	8	8	116
245	7	27	10
246	6	15	84
247	4	28	87
248	7	9	95
249	8	25	52
250	5	49	79
251	6	16	11
252	6	6	83
253	5	34	65
254	2	48	71
255	6	30	49
256	3	33	9
257	2	14	94
258	2	18	82
259	4	29	93
259	5	42	11
259	5	6	72
260	10	46	54
261	4	22	9
262	6	27	58
263	1	4	11
264	7	12	61
265	8	21	17
266	6	42	8
267	8	5	30
268	5	33	83
